✅ Triton and Torch match
matmul-performance-fp64:
         M          N          K       cuBLAS       Triton
--------------------------------------------------------
       256        256        256     2.730667     2.730667
       384        384        384     6.144000     5.820632
       512        512        512     8.738134     8.738134
       640        640        640    10.666666    12.800000
       768        768        768    12.822261    12.822261
       896        896        896    12.544000    14.946042
      1024       1024       1024    14.463117    14.266340
      1152       1152       1152    15.234613    16.228174
      1280       1280       1280    14.321679    15.226765
      1408       1408       1408    14.895563    14.734530
      1536       1536       1536    14.593584    14.444669
      1664       1664       1664    14.656208    14.491001
      1792       1792       1792    13.689919    14.483794
      1920       1920       1920    13.823999    14.644067
      2048       2048       2048    14.538315    14.781688
      2176       2176       2176    12.966269    15.006449
      2304       2304       2304    15.521685    15.302929
      2432       2432       2432    15.055983    14.833402
      2560       2560       2560    13.739203    15.156337
      2688       2688       2688    14.434192    14.957830
      2816       2816       2816    14.684918    15.112338
      2944       2944       2944    14.584733    15.028960
      3072       3072       3072    14.657806    14.811170
      3200       3200       3200    14.362657    14.509182
      3328       3328       3328    14.381002    14.653226
      3456       3456       3456    14.565776    15.013328
      3584       3584       3584    14.658525    14.735397
      3712       3712       3712    14.561234    14.814970
      3840       3840       3840    14.715188    14.930742
      3968       3968       3968    14.801544    15.032206
      4096       4096       4096    14.550925    15.213980
