✅ Triton and Torch match
matmul-performance-fp64:
         M          N          K       cuBLAS       Triton
--------------------------------------------------------
       256        256        256     3.869284     3.472106
       384        384        384     9.120990     7.934852
       512        512        512    18.001305    15.448633
       640        640        640    25.520249    17.374337
       768        768        768    31.668403    20.756269
       896        896        896    43.563661    25.328279
      1024       1024       1024    47.527523    27.492366
      1152       1152       1152    48.136770    27.083754
      1280       1280       1280    44.184055    25.740769
      1408       1408       1408    49.660357    27.506004
      1536       1536       1536    50.443743    28.547064
      1664       1664       1664    49.444571    28.151842
      1792       1792       1792    56.693186    30.254169
      1920       1920       1920    54.724810    30.099203
      2048       2048       2048    56.299383    30.459896
      2176       2176       2176    53.162447    30.652929
      2304       2304       2304    55.912806    30.959130
      2432       2432       2432    53.359222    31.439861
      2560       2560       2560    50.414732    30.415989
      2688       2688       2688    55.391887    31.069589
      2816       2816       2816    51.610631    31.220254
      2944       2944       2944    50.702734    30.687211
      3072       3072       3072    55.644970    31.409293
      3200       3200       3200    51.903291    31.992501
      3328       3328       3328    50.615666    31.426096
      3456       3456       3456    50.514767    30.867686
      3584       3584       3584    55.244370    31.919910
      3712       3712       3712    55.209059    31.840107
      3840       3840       3840    54.952119    31.477285
      3968       3968       3968    55.360838    31.397628
      4096       4096       4096    54.376313    31.393206
